date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:00:07	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/2	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/2.604.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/6-craig-smith)
20:00:07	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/402	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/402.605.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/6-craig-smith)
20:00:08	237342/237342	---M--	200	added ('OK')	application/pdf	etag:%2220f015c67597d21:0%22	http://www.gibdist.net/uploaded/Shumate_Middle_School/2017_Calendar.pdf	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/uploaded/Shumate_Middle_School/2017_Calendar.pdf	(from http://www.gibdist.net/athletics/middle-school-sports/spring-season/boys-and-girls-track-and-field)
20:00:08	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/2	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/2.606.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/7-dean-sisk)
20:00:08	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/402	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/402.607.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/7-dean-sisk)
20:00:09	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/2	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/2.608.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/9-john-lefevre)
20:00:09	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/402	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/402.609.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/9-john-lefevre)
20:00:09	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/2	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/2.60a.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/10-greg-cole)
20:00:09	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/402	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/402.60b.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/10-greg-cole)
20:00:09	0/-1	---M--	302	error ('')			http://www.gibdist.net/fs/pages/2	C:/Users/Snowman/Desktop/Webpage/New%20folder/Gibdist/www.gibdist.net/fs/pages/2.60c.delayed	(from http://www.gibdist.net/athletics/high-school-sports/boys-baseball/hall-of-fame/11-adam-ruffner)
